CONTROLE DE ENTRADA DE PAIS / RESPONSÁVEIS,,,,,
HORA,PAIS / RESPONSÁVEIS,ALUNO,SÉRIE/TURMA,DESTINO,AUTORIZADO POR
07:00,MARCA001 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 1,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
07:07,MARCA002 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 2,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
07:14,MARCA003 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 3,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
07:21,MARCA004 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 4,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
07:28,MARCA005 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 5,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
07:35,MARCA006 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 6,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
07:42,MARCA007 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 7,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
07:49,MARCA008 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 8,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
07:56,MARCA009 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 9,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
07:03,MARCA010 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 10,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
07:10,MARCA011 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 11,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
07:17,MARCA012 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 12,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
08:24,MARCA013 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 13,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
08:31,MARCA014 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 14,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
08:38,MARCA015 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 15,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
08:45,MARCA016 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 16,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
08:52,MARCA017 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 17,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
08:59,MARCA018 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 18,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
08:06,MARCA019 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 19,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
08:13,MARCA020 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 20,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
08:20,MARCA021 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 21,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
08:27,MARCA022 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 22,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
08:34,MARCA023 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 23,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
08:41,MARCA024 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 24,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
09:48,MARCA025 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 25,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
09:55,MARCA026 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 26,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
09:02,MARCA027 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 27,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
09:09,MARCA028 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 28,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
09:16,MARCA029 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 29,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
