CONTROLE DE ENTRADA E SAÍDA DE VIATURAS;;;;
Data:;segunda-feira, 17 de agosto de 2026;;;
CMT. DA GUARDA:;1 SGT MATIAS - 1406213;;;
Vigilante:;MAIANE DANTAS - 51907;;;
;;;;
Horário;;Viatura;;Condutor
Entrada;Saída;Interna;Externa;
07:00;08:00;AO 42;;MARCA001 GOMES PTTC
07:07;08:11;;UR 807;MARCA002 MATIAS SGT
07:14;08:22;ETIOS APAM;;MARCA003 VÂNIA ST
07:21;08:33;;AO 42;MARCA004 CERQUEIRA TEN
07:28;08:44;ASG 188;;MARCA005 AGATANGELO PTTC
07:35;08:55;;ETIOS APAM;MARCA006 GOMES PTTC
07:42;08:06;APS 376;;MARCA007 MATIAS SGT
07:49;08:17;;ASG 188;MARCA008 VÂNIA ST
07:56;08:28;UR 807;;MARCA009 CERQUEIRA TEN
07:03;08:39;;APS 376;MARCA010 AGATANGELO PTTC
07:10;08:50;AO 42;;MARCA011 GOMES PTTC
07:17;08:01;;UR 807;MARCA012 MATIAS SGT
08:24;09:12;ETIOS APAM;;MARCA013 VÂNIA ST
08:31;09:23;;AO 42;MARCA014 CERQUEIRA TEN
08:38;09:34;ASG 188;;MARCA015 AGATANGELO PTTC
08:45;09:45;;ETIOS APAM;MARCA016 GOMES PTTC
08:52;09:56;APS 376;;MARCA017 MATIAS SGT
08:59;09:07;;ASG 188;MARCA018 VÂNIA ST
08:06;09:18;UR 807;;MARCA019 CERQUEIRA TEN
08:13;09:29;;APS 376;MARCA020 AGATANGELO PTTC
08:20;09:40;AO 42;;MARCA021 GOMES PTTC
08:27;09:51;;UR 807;MARCA022 MATIAS SGT
08:34;09:02;ETIOS APAM;;MARCA023 VÂNIA ST
08:41;09:13;;AO 42;MARCA024 CERQUEIRA TEN
09:48;10:24;ASG 188;;MARCA025 AGATANGELO PTTC
09:55;10:35;;ETIOS APAM;MARCA026 GOMES PTTC
09:02;10:46;APS 376;;MARCA027 MATIAS SGT
09:09;10:57;;ASG 188;MARCA028 VÂNIA ST
09:16;10:08;UR 807;;MARCA029 CERQUEIRA TEN
09:23;10:19;;APS 376;MARCA030 AGATANGELO PTTC
09:30;10:30;AO 42;;MARCA031 GOMES PTTC
09:37;10:41;;UR 807;MARCA032 MATIAS SGT
09:44;10:52;ETIOS APAM;;MARCA033 VÂNIA ST
09:51;10:03;;AO 42;MARCA034 CERQUEIRA TEN
09:58;10:14;ASG 188;;MARCA035 AGATANGELO PTTC
09:05;10:25;;ETIOS APAM;MARCA036 GOMES PTTC
10:12;11:36;APS 376;;MARCA037 MATIAS SGT
10:19;11:47;;ASG 188;MARCA038 VÂNIA ST
10:26;11:58;UR 807;;MARCA039 CERQUEIRA TEN
10:33;11:09;;APS 376;MARCA040 AGATANGELO PTTC
10:40;11:20;AO 42;;MARCA041 GOMES PTTC
10:47;11:31;;UR 807;MARCA042 MATIAS SGT
10:54;11:42;ETIOS APAM;;MARCA043 VÂNIA ST
10:01;11:53;;AO 42;MARCA044 CERQUEIRA TEN
10:08;11:04;ASG 188;;MARCA045 AGATANGELO PTTC
10:15;11:15;;ETIOS APAM;MARCA046 GOMES PTTC
10:22;11:26;APS 376;;MARCA047 MATIAS SGT
10:29;11:37;;ASG 188;MARCA048 VÂNIA ST
11:36;12:48;UR 807;;MARCA049 CERQUEIRA TEN
11:43;12:59;;APS 376;MARCA050 AGATANGELO PTTC
11:50;12:10;AO 42;;MARCA051 GOMES PTTC
11:57;12:21;;UR 807;MARCA052 MATIAS SGT
11:04;12:32;ETIOS APAM;;MARCA053 VÂNIA ST
11:11;12:43;;AO 42;MARCA054 CERQUEIRA TEN
11:18;12:54;ASG 188;;MARCA055 AGATANGELO PTTC
11:25;12:05;;ETIOS APAM;MARCA056 GOMES PTTC
11:32;12:16;APS 376;;MARCA057 MATIAS SGT
11:39;12:27;;ASG 188;MARCA058 VÂNIA ST
11:46;12:38;UR 807;;MARCA059 CERQUEIRA TEN
11:53;12:49;;APS 376;MARCA060 AGATANGELO PTTC
12:00;13:00;AO 42;;MARCA061 GOMES PTTC
12:07;13:11;;UR 807;MARCA062 MATIAS SGT
12:14;13:22;ETIOS APAM;;MARCA063 VÂNIA ST
12:21;13:33;;AO 42;MARCA064 CERQUEIRA TEN
12:28;13:44;ASG 188;;MARCA065 AGATANGELO PTTC
12:35;13:55;;ETIOS APAM;MARCA066 GOMES PTTC
12:42;13:06;APS 376;;MARCA067 MATIAS SGT
12:49;13:17;;ASG 188;MARCA068 VÂNIA ST
12:56;13:28;UR 807;;MARCA069 CERQUEIRA TEN
12:03;13:39;;APS 376;MARCA070 AGATANGELO PTTC
12:10;13:50;AO 42;;MARCA071 GOMES PTTC
12:17;13:01;;UR 807;MARCA072 MATIAS SGT
13:24;14:12;ETIOS APAM;;MARCA073 VÂNIA ST
13:31;14:23;;AO 42;MARCA074 CERQUEIRA TEN
13:38;14:34;ASG 188;;MARCA075 AGATANGELO PTTC
13:45;14:45;;ETIOS APAM;MARCA076 GOMES PTTC
13:52;14:56;APS 376;;MARCA077 MATIAS SGT
13:59;14:07;;ASG 188;MARCA078 VÂNIA ST
13:06;14:18;UR 807;;MARCA079 CERQUEIRA TEN
13:13;14:29;;APS 376;MARCA080 AGATANGELO PTTC
13:20;14:40;AO 42;;MARCA081 GOMES PTTC
13:27;14:51;;UR 807;MARCA082 MATIAS SGT
13:34;14:02;ETIOS APAM;;MARCA083 VÂNIA ST
13:41;14:13;;AO 42;MARCA084 CERQUEIRA TEN
14:48;15:24;ASG 188;;MARCA085 AGATANGELO PTTC
14:55;15:35;;ETIOS APAM;MARCA086 GOMES PTTC
14:02;15:46;APS 376;;MARCA087 MATIAS SGT
14:09;15:57;;ASG 188;MARCA088 VÂNIA ST
14:16;15:08;UR 807;;MARCA089 CERQUEIRA TEN
14:23;15:19;;APS 376;MARCA090 AGATANGELO PTTC
14:30;15:30;AO 42;;MARCA091 GOMES PTTC
14:37;15:41;;UR 807;MARCA092 MATIAS SGT
14:44;15:52;ETIOS APAM;;MARCA093 VÂNIA ST
14:51;15:03;;AO 42;MARCA094 CERQUEIRA TEN
14:58;15:14;ASG 188;;MARCA095 AGATANGELO PTTC
